20992,-3698,-1045,1794,-33,7,3,0,10000,
20008,-3691,-1053,1816,-33,19,2,0,10000,
20992,-3709,-1051,1822,6,-4,-3,1,10000,
20008,-3691,-1055,1816,27,-17,-2,1,10000,
20992,-3700,-1025,1790,23,-2,-2,1,10000,
20008,-3708,-1032,1799,2,15,0,0,10000,
20992,-3714,-1028,1806,-15,-12,-2,0,10000,
20008,-3707,-1050,1809,-26,-11,1,2,10000,
20992,-3709,-1052,1794,-22,15,3,4,10000,
20008,-3706,-1049,1794,1,17,2,3,10000,
20992,-3715,-1039,1785,15,-10,-1,-1,10000,
20008,-3715,-1043,1791,15,-15,-2,-6,10000,
20992,-3712,-1049,1821,0,14,0,-6,10000,
20008,-3710,-1034,1783,-1,5,-2,0,10000,
20992,-3700,-1043,1817,-8,-16,-2,7,10000,
20008,-3704,-1041,1797,-10,3,0,10,10000,
20992,-3706,-1044,1805,0,-5,0,3,10000,
20008,-3697,-1043,1804,3,-3,-1,-6,10000,
20992,-3695,-1040,1792,-3,13,4,-10,10000,
20008,-3710,-1048,1807,1,12,-2,-4,10000,
20992,-3696,-1049,1796,-3,-13,0,5,10000,
20008,-3709,-1038,1796,-6,-2,1,9,10000,
20992,-3709,-1043,1805,-5,13,6,5,10000,
20008,-3699,-1039,1799,2,-8,-4,-3,10000,
20992,-3704,-1051,1788,-1,10,0,-8,10000,
20008,-3705,-1039,1783,5,-6,-2,-5,10000,
20992,-3706,-1046,1812,2,-3,1,2,10000,
20008,-3698,-1043,1815,-1,5,1,8,10000,
20992,-3704,-1044,1810,9,7,-2,8,10000,
20008,-3711,-1051,1801,11,-15,-3,3,10000,
20992,-3690,-1033,1800,0,6,1,-2,10000,
20008,-3692,-1051,1800,3,16,3,-4,10000,
20992,-3701,-1036,1791,9,-13,-2,-2,10000,
20008,-3711,-1043,1807,4,-14,-1,0,10000,
20992,-3707,-1031,1807,-11,10,3,2,10000,
20008,-3692,-1031,1799,-12,-1,3,2,10000,
20992,-3701,-1044,1801,-14,-9,0,1,10000,
20008,-3687,-1046,1815,-2,2,2,0,10000,
20992,-3714,-1042,1807,8,19,1,0,10000,
20008,-3711,-1036,1787,11,-1,-1,0,10000,
20992,-3711,-1053,1783,-9,8,3,1,10000,
20008,-3714,-1029,1796,-19,17,-1,1,10000,
20992,-3687,-1033,1801,-10,-8,-3,1,10000,
20008,-3705,-1055,1816,2,-7,0,0,10000,
20992,-3713,-1050,1792,10,7,0,0,10000,
20008,-3708,-1038,1808,15,4,-1,0,10000,
20992,-3702,-1048,1825,7,-10,-3,0,10000,
20008,-3708,-1035,1794,-9,-6,1,0,10000,
20992,-3701,-1042,1799,-16,0,-1,-1,10000,
20008,-3718,-1059,1807,-12,-9,0,-1,10000,
20992,-3700,-1054,1803,5,-3,-1,-1,10000,
20008,-3706,-1036,1802,18,2,-3,-1,10000,
20992,-3696,-1030,1792,21,-11,-2,-1,10000,
20008,-3697,-1038,1796,2,-17,0,-1,10000,
20992,-3699,-1038,1810,-16,10,2,1,10000,
20008,-3699,-1049,1798,-17,16,6,3,10000,
20992,-3703,-1040,1804,-6,-6,-2,4,10000,
20008,-3704,-1050,1796,8,-14,0,2,10000,
20992,-3697,-1037,1799,13,11,2,0,10000,
20008,-3714,-1037,1835,20,10,-1,-2,10000,
20992,-3703,-1042,1790,12,-17,0,0,10000,
20008,-3700,-1028,1820,-2,-14,-2,3,10000,
20992,-3705,-1045,1806,-10,7,0,5,10000,
20008,-3708,-1041,1794,-6,7,-2,2,10000,
20992,-3699,-1045,1806,11,-19,-2,-1,10000,
20008,-3695,-1039,1804,6,-12,-2,-4,10000,
20992,-3702,-1046,1807,2,13,1,-3,10000,
20008,-3709,-1036,1796,5,7,1,0,10000,
20992,-3713,-1043,1817,8,-10,-2,4,10000,
20008,-3699,-1026,1806,0,-7,2,5,10000,
20992,-3709,-1033,1788,-2,8,0,1,10000,
20008,-3699,-1047,1805,1,-5,-1,-3,10000,
20992,-3700,-1040,1798,0,-7,-1,-5,10000,
