periodo,acx,acy,acz,gx,gy,gz,cantAngle,altitude,
10,-4027,83,2113,5,5,252,-4923,11978,
10,-4023,70,2117,2,31,253,-4931,12002,
10,-4037,74,2134,3,247,1,-4933,12025,
10,-4021,74,2136,0,243,252,-4922,12049,
10,-4023,79,2117,0,242,-2,-4924,12072,
10,-4018,75,2123,254,-8,3,-4935,12096,
10,-4042,72,2117,251,1,0,-4936,12119,
10,-4036,78,2117,-7,8,1,-4933,12142,
10,-4033,78,2123,5,-3,252,-4933,12165,
10,-4031,91,2117,4,-15,-2,-4932,12189,
10,-4043,78,2121,3,-8,251,-4933,12212,
10,-4035,77,2103,4,247,253,-4934,12235,
10,-4030,74,2114,252,253,-5,-4936,12258,
10,-4031,87,2119,-3,14,0,-4939,12281,
10,-4023,80,2117,254,7,0,-4942,12304,
10,-4032,74,2117,1,7,0,-4945,12327,
10,-4046,86,2125,5,4,-3,-4949,12349,
10,-4027,82,2117,3,-4,-3,-4953,12372,
10,-4027,80,2100,1,-11,-4,-4958,12395,
10,-4026,82,2112,1,238,-3,-4963,12418,
10,-4026,73,2122,0,247,-4,-4968,12440,
10,-4023,80,2111,254,248,254,-4974,12463,
10,-4030,77,2127,-2,250,0,-4980,12485,
10,-4038,73,2123,-7,6,-2,-4986,12508,
10,-4026,75,2109,252,10,0,-4992,12530,
10,-4028,72,2129,251,15,4,-4999,12553,
10,-4029,75,2113,-5,13,1,-5006,12575,
10,-4021,82,2116,-6,10,2,-5013,12598,
10,-4021,79,2106,1,5,-3,-5020,12620,
10,-4025,85,2124,0,4,-2,-5027,12642,
10,-4024,79,2122,1,-6,251,-5034,12664,
10,-4026,70,2101,1,-10,-3,-5042,12686,
10,-4035,73,2109,5,-15,-2,-5050,12709,
10,-4032,78,2115,-21,243,-2,-5057,12731,
10,-4018,73,2112,-4,250,254,-5065,12753,
10,-4027,75,2119,7,4,3,-5073,12775,
10,-4036,72,2112,-5,12,2,-5081,12796,
10,-4027,83,2132,-5,14,2,-5089,12818,
10,-4041,83,2104,-5,12,2,-5097,12840,
10,-4029,74,2105,-17,8,2,-5105,12862,
10,-4023,81,2113,2,-3,-5,-5114,12884,
10,-4030,81,2119,5,-7,-2,-5122,12905,
10,-4038,88,2119,3,240,253,-5130,12927,
10,-4038,71,2123,1,-14,253,-5139,12948,
10,-4031,74,2114,1,-12,-2,-5147,12970,
10,-4032,81,2096,-3,-7,0,-5156,12992,
10,-4034,83,2117,-4,5,1,-5164,13013,
10,-4038,71,2122,-4,11,1,-5173,13034,
10,-4036,73,2116,-14,15,3,-5181,13056,
10,-4035,71,2115,-3,15,2,-5190,13077,
10,-4026,70,2102,0,2,254,-5198,13098,
10,-4030,66,2118,5,-3,-3,-5207,13119,
10,-4035,75,2104,3,245,3,-5216,13141,
10,-4028,83,2135,3,246,-1,-5224,13162,
10,-4030,76,2109,1,236,-2,-5233,13183,
10,-4040,68,2138,0,241,5,-5242,13204,
10,-4028,71,2117,3,243,254,-5250,13225,
10,-4038,71,2123,1,-12,0,-5259,13246,
10,-4035,85,2110,1,-16,-4,-5268,13267,
10,-4027,86,2112,254,-12,254,-5276,13288,
10,-4041,70,2137,10,-6,0,-5285,13308,
10,-4045,79,2107,253,8,2,-5294,13329,
10,-4030,90,2119,250,12,0,-5302,13350,
10,-4028,83,2120,3,13,2,-5311,13370,
10,-4027,73,2110,5,-6,-3,-5320,13391,
10,-4022,96,2109,5,-7,-3,-5329,13412,
10,-4031,65,2109,4,-9,-2,-5337,13432,
10,-4030,79,2108,1,-13,-2,-5346,13453,
10,-4024,64,2084,3,-14,254,-5355,13473,
10,-4036,73,2120,0,243,0,-5363,13493,
10,-4031,80,2111,0,246,0,-5372,13514,
